Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches
2021-2022,EreDivisie,Heracles Almelo,Opponent Total,,,25.3,34.0,33.0,1.0,2.0,4.0,1.0,37.0,0.28,5.0,0.15,173.0,433.0,40.0,932.0,158.0,34.1,32.2,252.0,45.6,40.1,513.0,18.0,3.5,41.0,1.21,15.3,
2021-2022,EreDivisie,Willem II,Timon Wellenreuther,de GER,GK,25.0,31.0,52.0,2.0,0.0,12.0,2.0,41.9,0.28,-8.1,-0.26,279.0,699.0,39.9,1028.0,137.0,51.6,40.2,244.0,69.3,50.8,418.0,27.0,6.5,72.0,2.32,17.4,Matches
2021-2022,EreDivisie,Willem II,Jorn Brondeel,be BEL,GK,27.0,1.2,1.0,0.0,0.0,0.0,0.0,1.7,0.25,0.7,0.63,10.0,30.0,33.3,32.0,5.0,71.9,49.6,7.0,100.0,64.4,18.0,3.0,16.7,1.0,0.87,13.4,Matches
2021-2022,EreDivisie,Willem II,Robbin Ruiter,nl NED,GK,34.0,1.0,4.0,0.0,0.0,0.0,0.0,4.4,0.48,0.4,0.36,8.0,17.0,47.1,28.0,3.0,46.4,37.2,8.0,50.0,41.8,11.0,0.0,0.0,0.0,0.0,12.0,Matches
2021-2022,EreDivisie,Willem II,Connor van den Berg,nl NED,GK,20.0,0.8,0.0,0.0,0.0,0.0,0.0,0.5,0.09,0.5,0.65,6.0,24.0,25.0,11.0,1.0,81.8,47.5,15.0,100.0,62.8,32.0,1.0,3.1,0.0,0.0,6.6,Matches
2021-2022,EreDivisie,Willem II,Squad Total,,,24.7,34.0,57.0,2.0,0.0,12.0,2.0,48.5,0.28,-6.5,-0.19,303.0,770.0,39.4,1099.0,146.0,52.3,40.5,274.0,71.2,51.6,479.0,31.0,6.5,73.0,2.15,16.9,
2021-2022,EreDivisie,Willem II,Opponent Total,,,25.2,34.0,32.0,0.0,0.0,3.0,2.0,28.9,0.29,-1.1,-0.03,196.0,475.0,41.3,953.0,166.0,35.2,32.9,261.0,53.6,43.3,524.0,23.0,4.4,47.0,1.38,15.6,
2021-2022,EreDivisie,Zwolle,Kostas Lamprou,gr GRE,GK,29.0,34.0,52.0,3.0,3.0,7.0,3.0,54.2,0.3,5.2,0.15,284.0,737.0,38.5,1255.0,162.0,45.3,37.0,259.0,64.9,48.3,424.0,25.0,5.9,59.0,1.74,17.5,Matches
2021-2022,EreDivisie,Zwolle,Squad Total,,,25.2,34.0,52.0,3.0,3.0,7.0,3.0,54.2,0.3,5.2,0.15,284.0,737.0,38.5,1255.0,162.0,45.3,37.0,259.0,64.9,48.3,424.0,25.0,5.9,59.0,1.74,17.5,
2021-2022,EreDivisie,Zwolle,Opponent Total,,,25.2,34.0,26.0,3.0,0.0,1.0,0.0,29.7,0.21,3.7,0.11,252.0,678.0,37.2,996.0,151.0,50.4,39.5,267.0,65.9,48.8,523.0,29.0,5.5,30.0,0.88,14.3,
