,Player,value,age,club,position
125,"
Bas Kuipers ",€700k ,29,Go Ahead Eagles,Defensa
126,"
Benaissa Benamar ",€700k ,26,FC Volendam,Defensa
127,"
Mimeirhel Benita ",€700k ,19,Excelsior Rotterdam,Defensa
128,"
Anselmo García MacNulty ",€700k ,20,PEC Zwolle,Defensa
129,"
Thomas Lam ",€700k ,29,PEC Zwolle,Defensa
130,"
Jetro Willems ",€700k ,29,Heracles Almelo,Defensa
131,"
Mats Deijl ",€700k ,26,Go Ahead Eagles,Defensa
132,"
Sadik Fofana ",€700k ,20,Fortuna Sittard,Defensa
133,"
Julian Lelieveld ",€700k ,25,RKC Waalwijk,Defensa
134,"
Rémy Vita ",€700k ,22,Fortuna Sittard,Defensa
135,"
Redouan El Yaakoubi ",€700k ,27,Excelsior Rotterdam,Defensa
136,"
Tijs Velthuis ",€650k ,21,Sparta Rotterdam,Defensa
137,"
Nick Viergever ",€650k ,34,FC Utrecht,Defensa
138,"
Joris Kramer ",€650k ,27,Go Ahead Eagles,Defensa
139,"
Fredrik Oppegård ",€650k ,21,PSV Eindhoven,Defensa
140,"
Saïd Bakari ",€650k ,29,Sparta Rotterdam,Defensa
141,"
Brayann Pereira ",€600k ,20,NEC Nijmegen,Defensa
142,"
Brian Plat ",€600k ,23,FC Volendam,Defensa
143,"
Dominik Oroz ",€600k ,23,Vitesse Arnhem,Defensa
144,"
Denzel Hall ",€600k ,22,SC Heerenveen,Defensa
145,"
Enzo Cornelisse ",€550k ,21,Vitesse Arnhem,Defensa
146,"
Dario Van den Buijs ",€550k ,28,RKC Waalwijk,Defensa
147,"
Damon Mirani ",€550k ,27,FC Volendam,Defensa
148,"
Ivo Pinto ",€500k ,33,Fortuna Sittard,Defensa
149,"
Gerrit Nauber ",€500k ,31,Go Ahead Eagles,Defensa
150,"
Joey Veerman ",€20.00m ,24,PSV Eindhoven,Centrocampista
151,"
Jerdy Schouten ",€16.00m ,26,PSV Eindhoven,Centrocampista
152,"
Mats Wieffer ",€15.00m ,23,Feyenoord Rotterdam,Centrocampista
153,"
Quinten Timber ",€12.00m ,22,Feyenoord Rotterdam,Centrocampista
154,"
Calvin Stengs ",€10.00m ,24,Feyenoord Rotterdam,Centrocampista
155,"
Kenneth Taylor ",€10.00m ,21,Ajax Amsterdam,Centrocampista
156,"
Steven Berghuis ",€9.00m ,31,Ajax Amsterdam,Centrocampista
157,"
Branco van den Boomen ",€9.00m ,28,Ajax Amsterdam,Centrocampista
158,"
Malik Tillman ",€8.00m ,21,PSV Eindhoven,Centrocampista
159,"
Ramiz Zerrouki ",€8.00m ,25,Feyenoord Rotterdam,Centrocampista
160,"
Sivert Mannsverk ",€6.50m ,21,Ajax Amsterdam,Centrocampista
161,"
Sven Mijnans ",€6.00m ,23,AZ Alkmaar,Centrocampista
162,"
Guus Til ",€6.00m ,25,PSV Eindhoven,Centrocampista
163,"
Michal Sadilek ",€5.00m ,24,Twente Enschede FC,Centrocampista
164,"
Dani de Wit ",€5.00m ,25,AZ Alkmaar,Centrocampista
165,"
Benjamin Tahirovic ",€5.00m ,20,Ajax Amsterdam,Centrocampista
166,"
Ismael Saibari ",€5.00m ,22,PSV Eindhoven,Centrocampista
167,"
Kacper Kozlowski ",€5.00m ,20,Vitesse Arnhem,Centrocampista
168,"
Joshua Kitolano ",€4.50m ,22,Sparta Rotterdam,Centrocampista
169,"
Can Bozdoğan ",€4.50m ,22,FC Utrecht,Centrocampista
170,"
Michel Vlap ",€4.00m ,26,Twente Enschede FC,Centrocampista
171,"
Ondrej Lingr ",€4.00m ,25,Feyenoord Rotterdam,Centrocampista
172,"
Djordje Mihailovic ",€3.50m ,24,AZ Alkmaar,Centrocampista
173,"
Silvano Vos ",€3.00m ,18,Ajax Amsterdam,Centrocampista
174,"
Dirk Proper ",€3.00m ,21,NEC Nijmegen,Centrocampista
175,"
Isaac Babadi ",€3.00m ,18,PSV Eindhoven,Centrocampista
176,"
Sem Steijn ",€3.00m ,21,Twente Enschede FC,Centrocampista
177,"
Jordy Clasie ",€3.00m ,32,AZ Alkmaar,Centrocampista
180,"
Riechedly Bazoer ",€2.80m ,27,AZ Alkmaar,Centrocampista
181,"
Carel Eiting ",€2.50m ,25,Twente Enschede FC,Centrocampista
182,"
Thom Haye ",€2.50m ,28,SC Heerenveen,Centrocampista
183,"
Bart Ramselaar ",€2.30m ,27,FC Utrecht,Centrocampista
184,"
Thomas van den Belt ",€2.30m ,22,Feyenoord Rotterdam,Centrocampista
185,"
Arno Verschueren ",€2.30m ,26,Sparta Rotterdam,Centrocampista
186,"
Rober González ",€2.00m ,22,NEC Nijmegen,Centrocampista
187,"
Melle Meulensteen ",€2.00m ,24,Vitesse Arnhem,Centrocampista
188,"
Oscar Fraulo ",€2.00m ,19,FC Utrecht,Centrocampista
189,"
Mathias Kjölö ",€1.80m ,22,Twente Enschede FC,Centrocampista
190,"
Philippe Rommens ",€1.60m ,26,Go Ahead Eagles,Centrocampista
191,"
Zakaria Labyad ",€1.60m ,30,FC Utrecht,Centrocampista
192,"
Kenzo Goudmijn ",€1.30m ,21,AZ Alkmaar,Centrocampista
193,"
Simon Olsson ",€1.30m ,26,SC Heerenveen,Centrocampista
194,"
Marco van Ginkel ",€1.30m ,30,Vitesse Arnhem,Centrocampista
195,"
Kian Fitz-Jim ",€1.30m ,20,Excelsior Rotterdam,Centrocampista
196,"
Ryan Thomas ",€1.30m ,28,PEC Zwolle,Centrocampista
197,"
Metinho ",€1.20m ,20,Sparta Rotterdam,Centrocampista
198,"
Anas Tahiri ",€1.20m ,28,SC Heerenveen,Centrocampista
199,"
Antoni Milambo ",€1.00m ,18,Feyenoord Rotterdam,Centrocampista
